name,gender
David Hoberman,m
George Tomasini,m
Ennio Morricone,m
Todd Lieberman,m
Roger Christian,m
Park Chan-wook,m
Rachel Elkind,f
Betsy Heimann,f
Charlie Brooker,m
John Williams,m
Roland Totheroh,m
Howard Shore,m
Joy Todd,f
Robert Zemeckis,m
Danilo Donati,m
Hayao Miyazaki,m
Winston Groom,m
Gerald B. Greenberg,m
Daniel Rezende,m
Hal Pereira,m
Walter Salles,m
Sergio Leone,m
Jack Nitzsche,m
Michael Seirton,m
Christopher Nolan,m
David S. Goyer,m
Takao Saitô,m
Jennifer Duffy,f
Michael Simpson,m
Masaru Satô,m
Gary Fettis,m
Emeric Pressburger,m
Kerry Rossall,m
Wally Pfister,m
Dorothy Byrne,f
Tullio Pinelli,m
David Lazan,m
Sergio Leone,m
Gerald R. Molen,m
Peter Jackson,m
Heta Mantscheff,f
Howard Feuer,m
Frank Marshall,m
Joe Hisaishi,m
Herbert Coleman,m
Jonathan Nolan,m
Shaila Rubin,f
Charlie Chaplin,m
Alan Silvestri,m
Hideaki Anno,m
Frank Darabont,m
Mathieu Vadepied,m
Bob Weinstein,m
Masaichi Nagata,m
Tonino Delli Colli,m
Hisanori Ooshiro,m
Howard Feuer,m
Stacey Sher,f
Fumio Hayasaka,m
Barry Malkin,m
Peter Zinner,m
John Barry,m
Cho Sang-kyung,f
Bud Thackery,m
Hayao Miyazaki,m
Phyllis Carlyle,f
Roberto Benigni,m
Mario Cecchi Gori,m
Joe Hisaishi,m
Harvey Weinstein,m
Kunji Tanifuji,m
David McKenna,m
John Williams,m
Giuseppe Rotunno,m
Gary Kurtz,m
Larry Dias,m
Anna Hill Johnstone,f
Mario Cotone,m
Martin Scorsese,m
Patti Podesta,f
Francine Maisler,f
Ei Inoue,f
Marcia Lucas,f
Riz Ortolani,m
Bill Carraro,m
Peter Jackson,m
Sally Menke,f
Harvey Keitel,m
Mamoru Hosoda,m
Billy Hopkins,m
Makoto Shinkai,m
Yojiro Noda,m
Kenyon Hopkins,m
Willard Nico,m
Ben Davis,m
Al Ernest Garcia,m
Dody Dorn,f
Sam Comer,m
Makoto Shinkai,m
Lawrence Turman,m
Dean Eilertson,m
Juliet Taylor,f
John King,m
James Liggat,m
Simona Paggi,f
Nino Baragli,m
Edith Head,f
Robert Dawn,m
Mario Puzo,m
David Tattersall,m
James C. Katz,m
Francis Ford Coppola,m
Mary Zophres,f
Harry Crocker,m
Steven Spielberg,m
Michael Powell,m
Gordon Pollock,m
Sheldon Kahn,m
Sylvie Landra,f
Patrice Ledoux,m
Yûharu Atsuta,m
Leslie McDonald,f
Barrie M. Osborne,m
Yûharu Atsuta,m
Danielle Berman,f
Stanley Kubrick,m
Nathan Crowley,m
Vittorio De Sica,m
Philip Ivey,m
Tôru Takemitsu,m
César Charlone,m
Christopher Nolan,m
Joseph M. Schenck,m
Mauricio Andrade Ramos,m
Mark Gatiss,m
Ernest Gold,m
David McKenna,m
Mike Fenton,m
Carlo Leva,m
Lana Wachowski,f
Daniel Rezende,m
Andrew Lesnie,m
Melanie Jones,f
Danny DeVito,m
Johnny Klimek,m
Nathan Crowley,m
Gray Frederickson,m
Jeff Cronenweth,m
Tony Thomas,m
Mark Ordesky,m
Aaron Ryder,m
John Toll,m
Henry Bergman,m
Jacques Becker,m
J.R.R. Tolkien,m
Shaheen Baig,f
Uday Chopra,m
Carl Theodor Dreyer,m
Tom Schulman,m
William James Teegarden,m
Howard Shore,m
Michael Douglas,m
Frank Darabont,m
Paul Hellerman,m
Michael McDonnell,m
Gary M. Zuckerbrod,m
Harry Crocker,m
George Tomasini,m
Bob Gale,m
Brian Witten,m
Emeric Pressburger,m
Francis Ford Coppola,m
Nino Rota,m
Martin McDonagh,m
Valerie McCaffrey,f
George Lucas,m
Joe Hisaishi,m
Emeric Pressburger,m
Louis DiGiaimo,m
Arthur Schmidt,m
Sayombhu Mukdeeprom,m
Magali Guidasci,f
Mike Fenton,m
Newton Thomas Sigel,m
Phil Tippett,m
Robert Burks,m
Carl Theodor Dreyer,m
Shinobu Hashimoto,m
Joanna Johnston,f
Sam Comer,m
Allan Starski,m
Peter Czernin,m
Harry Crocker,m
Alec Coppel,m
Yoshifumi Kondou,m
Joakim Sundström,m
Deborah Aquila,f
Lenny Abrahamson,m
John F. Seitz,m
Jonathan Nolan,m
Hans Christian Andersen,m
Takeshi Seyama,m
John Lasseter,m
Christopher Nolan,m
Toshio Suzuki,m
Buster Keaton,m
Saul Bass,m
Antonella Pompei,f
Edward Saxon,m
Vic Ramos,m
Yojiro Noda,m
Ralph Nelson,m
Francis Ford Coppola,m
Jonathan Nolan,m
Herman Buchman,m
Richard N. Gladstein,m
Guel Arraes,m
Al Ernest Garcia,m
Louis C.K.,m
Xavier Dolan,m
Christopher Nolan,m
Sophie Mas,f
Alberto Grimaldi,m
Saul Zaentz,m
Christopher Nolan,m
Frank Maher,m
Anne Kopelson,f
Hiroshi Teshigahara,m
Kazuo Miyagawa,m
Richard N. Gladstein,m
Steven Moffat,m
Agnès Mentre,f
Ennio Morricone,m
Emmett Emerson,m
George Lucas,m
Joseph Delteil,m
Michael Kahn,m
Rita Riggs,f
Takanobu Saitô,m
Peter Jackson,m
David Lancaster,m
Tôru Takemitsu,m
Kogo Noda,m
