name,gender
Jerome Hellman,m
Ari Graynor,f
Antoine Baud,m
John Carpenter,m
James R. Bagdonas,m
Andrew Weisblum,m
Deborah Newhall,f
Betsy Heimann,f
Brian Grazer,m
Ron Clements,m
Thomas Hardmeier,m
Xavier Gens,m
Erich Pommer,m
Tom de Mol,m
Kate Ogborn,f
Camille Friend,f
Kevin Stitt,m
Ramin Djawadi,m
Jane Rosenthal,f
Thomas A. Bliss,m
Lawrence Kasanoff,m
Richard Alan Simmons,m
Judy Tossell,f
Mary Malin,f
Alexander Gruszynski,m
Marco Beltrami,m
Paula Jalfon,f
Daniel Melnick,m
John Sloss,m
Bill Pankow,m
Brasse Brännström,m
Stephan Apelgren,m
Carter Burwell,m
Adruitha Lee,f
Judd Apatow,m
Elísabet Ronaldsdóttir,f
Robert Wade,m
Gigi Pritzker,f
Scott Steindorff,m
Ethan Coen,m
Roger Avary,m
Priscilla John,f
Oliver Wood,m
Emma Zee,f
Gary Young,m
Reinhold Heil,m
Michael Patrick King,m
David M. Walsh,m
Paul Hoen,m
Graham King,m
Mike J. Regan,m
Barbara Herman-Skelding,f
Bob Ziembicki,m
Ole Bornedal,m
J. Michael Riva,m
Brent Thomas,m
Michael Paseornek,m
Walter Murch,m
Kara Eide,f
Melanie Jones,f
Abigail Murray,f
Jérôme Commandeur,m
Leonardo Pieraccioni,m
Robert J. Wunsch,m
María Elena Sáinz de Rozas,f
Herbie Hancock,m
Mark Friedberg,m
Christopher Gunning,m
Woody Allen,m
Chris Newman,m
Paul Greengrass,m
Eric Lerner,m
Jon Turteltaub,m
Rebecca Hofherr,f
Ray Fisher,m
Arthur Edeson,m
Kayla Emter,f
Martin Whist,m
Larry Bock,m
Franz Waxman,m
Jennifer L. Smith,f
Milt Banta,m
Stephen Goldblatt,m
Thomas Langmann,m
William Horberg,m
Henry Selick,m
José Antonio Bermúdez,m
Glenn Gers,m
Bruce Johnson,m
Masato Hara,m
John Loy,m
Daniel Delume,m
Jean Rabier,m
Dick Pope,m
Elmer Bernstein,m
Na Hong-jin,m
Kristine Peterson,f
Mali Finn,f
M. Night Shyamalan,m
Evan Goldberg,m
Michael Jablow,m
Jim Wheat,m
Naoki Satô,m
Jaco Van Dormael,m
Lyle R. Wheeler,m
James Bamford,m
Joel Coen,m
Tony Gilroy,m
Tina Fey,f
Tom Waldman,m
Denys Arcand,m
Sara Risher,f
Peter Deming,m
Nancy Haigh,f
James Haygood,m
Dorothy Aufiero,f
Jonathan Dayton,m
Len Blum,m
Ira Newborn,m
Barry Strugatz,m
James Townsend,m
Anthony DiBlasi,m
Anthony Russo,m
Conrad Helten,m
Stephen King,m
Sarah Finn,f
Darren Lynn Bousman,m
Ted Sears,m
Thomas Lennon,m
April Webster,f
William Gibson,m
Doug Mitchell,m
Jean-Claude Van Damme,m
Ron Grainer,m
Jennifer L. Smith,f
Michael Goldberg,m
George Miller,m
Nathan Barr,m
John Lee Hancock,m
Anya Colloff,f
Terry Hayes,m
Don Davis,m
John Claflin,m
Happy Walters,m
George Lucas,m
Joanna Johnston,f
Nancy Nayor,f
Virginia Katz,f
Dylan Sellers,m
John Shirley,m
Andrew Rona,m
Larry Lieber,m
Marcelo Pont Vergés,m
David Finfer,m
James Mangold,m
Marlon Wayans,m
Phil Weinstein,m
Glen A. Larson,m
David Sardy,m
Stephen Goldblatt,m
Philip Steuer,m
Andrew Lazar,m
Ralf D. Bode,m
Cathy Sandrich,f
Robin Bhatt,m
Lloyd Ahern II,m
Lucas Sussman,m
Jeffrey Silver,m
Trevor Rabin,m
Jason Schwartzman,m
Jake West,m
Charles D. Hall,m
Frank Marshall,m
Stuart Gordon,m
Mike Fenton,m
Michael Katz,m
Roger Ford,m
Jack Conroy,m
James Newton Howard,m
Declan Quinn,m
David Klein,m
Massimiliano Bruno,m
Nick Hamm,m
Mary Bailey,f
Sarah Green,f
Charlie Clouser,m
Linda M. Bass,f
Monique Prudhomme,f
Danny DeVito,m
Brian Reitzell,m
Carolyn McLeod,f
Stephen Herek,m
Bruce Davey,m
Matthew F. Leonetti,m
Dominique Besnehard,m
Maher Ahmad,m
Alan Baumgarten,m
John Thomas,m
Sven Nykvist,m
Mary Vernieu,f
John Ford,m
Suzanne Smith,f
Scott Rudin,m
Rodo Sayagues,m
Matt Villa,m
David Hare,m
Ellen Lewis,f
Roxanne Benjamin,f
Craig Wood,m
Robert Baberske,m
María Elena Sáinz de Rozas,f
Liz W. Garcia,f
Paul Thomas Anderson,m
Erdman Penner,m
Rob Hardy,m
Steven Moffat,m
Barbara Munch,f
Andrew Drazek,m
Mary A. Kelly,f
Rob Reiner,m
Scott LaStaiti,m
Cyril Gely,m
Kevin Grevioux,m
Ted Elliott,m
Anne D. McCulley,f
Robert Ortiz,m
Stanley Kubrick,m
Patrick Tatopoulos,m
Charles Band,m
Stephen Tenenbaum,m
Alan B. McElroy,m
Melanie Coombs,f
Michael Ballhaus,m
Marion Monnier,f
Patrick Sheane Duncan,m
Edward Small,m
Joseph de Bretagne,m
Mark Isham,m
Homer H. Hickam Jr.,m
Billy Hopkins,m
Bob Weinstein,m
Mary Sweeney,f
"Éric Neveux",m
Paul Martin Smith,m
David Coatsworth,m
Paul Young,m
Peter Steinfeld,m
Walter Scharf,m
E. Elias Merhige,m
Ben Nye,m
Francis Ford Coppola,m
Masayuki,m
Steven Soderbergh,m
Peter Sova,m
Rian Johnson,m
Ingrid Ferrin,f
Andrew Dunn,m
Oz Perkins,m
Albert Wolsky,m
Ricky Blitt,m
Heidi Levitt,f
Albert Hackett,m
James Bamford,m
Adrian Lyne,m
Kerry Barden,m
Eric Fellner,m
Robert Elswit,m
Richard Redlefsen,m
James McTeigue,m
Masaru Ooshiro,m
Andy Cadiff,m
Marc Shaiman,m
Anthony Pratt,m
John Debney,m
Rupert Gregson-Williams,m
Adruitha Lee,f
Remi Adefarasin,m
Graham Begg,m
Francis Kenny,m
John Carpenter,m
Jon Hutman,m
Hans Zimmer,m
John Dunning,m
Mark Canton,m
Junie Lowry-Johnson,f
Bojan Bazelli,m
Amir Mokri,m
George Rizkallah,m
Dominic Frontiere,m
Ardy Lam Kwok-Wah,m
Jina Jay,f
Brian Tyler,m
Georges Arnaud,m
Owen Roizman,m
Kevin Heffernan,m
John McPherson,m
Jeff Gourson,m
Donn Pearce,m
Aram Khachaturyan,m
Todd Wagner,m
Christian Berger,m
Sam Shepard,m
Randi Hiller,f
Ernest Tidyman,m
Robert Fraisse,m
Gwen Wakeling,f
Dale Launer,m
Jeremy Doner,m
Ve Neill,f
Mark Mylod,m
Pia Hoffmann,f
Marcos Siega,m
Bill Groom,m
Robert W. Cort,m
Karen Margiotta,f
Chris Moore,m
Claudia Bestor,f
John Buchan,m
Gary Chapman,m
Walter Tevis,m
Kelly Asbury,m
Drake Silliman,m
Armyan Bernstein,m
David Giler,m
Danny Elfman,m
Ronald Harwood,m
Harry Shearer,m
Raymond Lefevre,m
Dion Beebe,m
Jamie Uys,m
Danny Lerner,m
Lisa Beach,f
John Bailey,m
Avy Kaufman,f
Fernando Carrere,m
Santo Loquasto,m
John Williams,m
Todd Fellman,m
Patrizia von Brandenstein,f
Lisa Fruchtman,f
Ben Nye,m
Andrew McAlpine,m
Richard Matheson,m
Christian Halsey Solomon,m
Mychael Danna,m
Woody Allen,m
Aaron Sorkin,m
John Goldstone,m
Frank Miller,m
Jack Rollins,m
Park Hoon-Jung,m
Carlo Di Palma,m
